age,Ageyear,dob,name,def,mid,att,height,weight,wins,fouls,goals,losses,red_card,total_pass,appsq,appearances,assists,yellow_card,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch,wage_above_100
24,1994,12/1/94,Aaron Cresswell,1,0,0,184,82,29,68,0.03,16,1,51.97,3600,60,0,11,102,158,5,121,8,13,61,3,191,366,287,87,0.85,71,74,358,0.08,8,0,0,0,47,0.36,,,,,,,,,,,,,,no
33,1985,8/20/85,Aaron Lennon,0,1,0,186,86,23,32,0.26,8,0,18.13,1521,39,5,1,3,15,18,31,8,13,26,,,,,,,,,,,,0,1,16,72,0.39,,,,,,,,,,,,,,no
22,1996,12/31/96,Aaron Ramsey,0,1,0,178,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,yes
26,1992,11/5/92,Abdoulaye Doucouré,0,1,0,199,91,32,3,0,10,2,22.37,3844,62,0,3,,,,,,,,3,383,,,,,,,,,,,,,,,0,19,68,,,151,31,429,1,281,108,33,26,no
40,1978,11/16/78,Adam Federici,0,0,0,190,86,7,0,0,15,0,15.14,841,29,0,0,,,,,,,,2,94,,,,,,,,,,,,,,,0,4,40,,,92,24,234,0,131,32,3,10,no
33,1985,2/10/85,Adam Lallana,0,1,0,186,79,17,65,0.1,37,0,16.64,5184,72,4,9,77,173,23,76,6,29,49,0,35,335,383,63,0.71,105,51,264,0.28,4,0,0,3,81,0.3,,,,,,,,,,,,,,no
34,1984,9/9/84,Adam Smith,0,1,0,193,94,32,3,0,80,0,24.52,21316,146,1,7,,,,,,,,11,1211,,,,,,,,,,,,,,,0,27,242,,,441,80,1319,2,551,324,84,63,no
30,1988,1/12/88,Adnan Januzaj,0,1,0,193,82,0,6,0,4,0,35.2,25,5,0,1,21,9,1,45,0,0,22,1,19,41,15,22,0.44,5,4,34,0,0,,,,,,0,0,10,0,0,,,,,,,,,no
37,1981,7/28/81,Adrian Mariappa,1,0,0,188,74,254,164,0.05,111,0,38.63,207936,456,40,39,540,681,1,469,14,88,121,1,1481,1079,715,104,0.7,93,77,1587,0.29,90,0,0,0,229,0.24,,,,,,,,,,,,,,no
34,1984,2/22/84,Ahmed Musa,0,0,1,185,91,145,292,22,50,2,38.75,64516,254,20,55,392,527,18,1135,20,40,531,2,655,1422,910,583,0.81,322,106,1154,0.2,12,,,,,,0,86,236,6,5,,,,,,,,,no
26,1992,5/28/92,Alberto Moreno,1,0,0,177,71,24,15,0.02,11,0,23.78,1600,40,1,4,27,38,0,21,1,4,6,0,42,53,78,4,0.66,21,7,75,0.17,3,0,0,0,10,0.3,,,,,,,,,,,,,,no
26,1992,3/27/92,Aleksandar Kolarov,1,0,0,185,75,13,23,26,3,0,19.96,676,26,1,4,39,46,0,24,1,3,12,0,30,103,86,32,0.76,22,14,88,0.25,2,0,0,0,8,0.13,,,,,,,,,,,,,,no
26,1992,2/27/92,Alex Iwobi,0,1,0,180,66,5,28,0.35,11,0,10.25,400,20,0,0,3,9,9,1,2,10,1,,,,,,,,,,,,1,0,2,29,0.41,,,,,,,,,,,,,,no
24,1994,3/1/94,Alex McCarthy,0,1,0,180,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,no
31,1987,1/23/87,Alex Oxlade-Chamberlain,0,1,0,183,73,28,35,0.09,26,0,28.1,4900,70,1,2,142,126,4,127,2,5,53,2,82,266,242,69,0.72,102,22,332,0.18,0,0,0,2,32,0.31,,,,,,,,,,,,,,no
27,1991,6/25/91,Alex Palmer,0,0,0,186,83,0,3,4,3,0,13.25,16,4,0,2,3,2,2,1,0,1,0,,,,,,,,,,,,0,0,0,6,0.06,,,,,,,,,,,,,,no
31,1987,1/22/87,Alexis Sánchez,0,0,1,178,70,75,279,0.2,95,0,15.08,45369,213,18,18,97,161,138,108,16,32,50,,,,,,,,,,,,1,0,42,279,0.41,,,,,,,,,,,,,,yes
34,1984,1/13/84,Alfie Mawson,1,0,0,180,79,87,256,0.02,97,1,40.05,64516,254,11,41,435,487,2,481,8,61,184,0,843,913,900,207,0.69,141,56,1395,0.31,28,0,0,1,174,0.14,,,,,,,,,,,,,,no
24,1994,10/27/94,Ander Herrera,0,1,0,190,92,17,15,1,8,0,26.21,1444,38,1,0,43,47,2,168,1,3,81,0,50,153,70,91,0.7,40,8,100,0.2,0,,,,,,0,12,28,0,0,,,,,,,,,yes
28,1990,2/12/90,André Ayew,0,1,0,183,77,22,72,0.09,32,2,22.14,5929,77,10,8,59,109,9,35,10,27,15,0,72,305,422,31,0.77,74,81,250,0.24,52,0,0,5,101,0.28,,,,,,,,,,,,,,no
37,1981,1/30/81,Andrew Surman,0,1,0,201,75,152,360,0.24,137,1,19.35,165649,407,54,29,105,126,139,385,29,85,179,,,,,,,,,,,,0,0,39,579,0.4,,,,,,,,,,,,,,no
28,1990,6/17/90,Andros Townsend,0,1,0,182,67,107,197,0.1,71,1,45.72,54756,234,34,26,317,450,28,261,34,77,103,1,680,779,880,142,0.71,177,100,1156,0.25,103,1,2,14,282,0.29,,,,,,,,,,,,,,no
26,1992,10/11/92,Andy Carroll,0,0,1,180,66,25,101,0.08,38,0,14.35,7225,85,5,10,59,125,20,19,11,31,5,0,37,587,665,27,0.82,56,275,417,0.21,7,0,0,9,91,0.34,,,,,,,,,,,,,,no
22,1996,12/23/96,Andy King,0,1,0,179,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,no
33,1985,4/8/85,Angel Rangel,1,0,0,181,83,144,354,20,70,3,37.53,71289,267,42,39,345,640,55,232,34,76,78,1,335,1419,1527,184,0.78,333,361,1310,0.26,53,,,,,,0,79,213,1,2,,,,,,,,,no
28,1990,6/5/90,Angelo Ogbonna,1,0,0,188,78,26,69,6,41,0,29.2,9025,95,2,13,199,152,5,469,5,18,260,0,201,521,342,289,0.74,166,16,367,0.22,3,,,,,,1,25,122,1,3,,,,,,,,,no
33,1985,5/3/85,Angus Gunn,0,0,0,191,83,7,0,0,24,0,20.54,1521,39,0,2,,,,,,,,3,201,,,,,,,,,,,,,,,0,7,80,,,165,9,413,0,171,64,20,22,no
20,1998,11/27/98,Anthony Martial,0,0,1,184,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,yes
25,1993,1/1/93,Antonio Valencia,1,0,0,181,79,25,52,1,8,0,40.75,1600,40,2,9,70,110,1,121,2,2,66,1,47,209,227,46,0.74,47,23,205,0.17,2,,,,,,0,8,47,0,0,,,,,,,,,no
24,1994,6/3/94,Arthur Masuaku,1,0,0,173,69,15,51,0.11,42,0,25.04,5776,76,6,3,50,88,16,20,13,36,6,0,73,300,372,12,0.75,48,129,247,0.23,7,0,0,5,140,0.35,,,,,,,,,,,,,,no
34,1984,9/29/84,Artur Boruc,0,0,0,198,90,85,48,5,30,2,50.48,22201,149,1,11,254,146,3,805,1,14,413,3,303,602,275,380,0.74,166,16,722,0.25,1,,,,,,0,57,150,14,1,,,,,,,,,no
21,1997,9/14/97,Ashley Barnes,0,0,1,185,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,no
30,1988,6/18/88,Ashley Fletcher,0,0,1,186,75,1,3,0.67,0,0,22.33,9,3,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,0,0,1,5,0.6,,,,,,,,,,,,,,no
32,1986,4/16/86,Ashley Williams,1,0,0,174,76,23,35,0.12,5,0,15.37,1681,41,0,1,16,40,10,6,2,13,3,,,,,,,,,,,,0,0,8,53,0.28,,,,,,,,,,,,,,no
24,1994,2/12/94,Ashley Young,1,0,0,178,72,0,5,0,3,0,20.75,16,4,0,1,7,13,0,9,0,0,2,0,5,25,18,5,0.77,4,4,19,0.2,0,,,,,,0,0,6,0,0,,,,,,,,,yes
28,1990,11/26/90,Asmir Begovic,0,0,0,185,72,16,12,1,4,1,45.89,729,27,1,4,80,46,0,155,0,2,62,1,41,128,66,68,0.67,36,3,165,0,2,,,,,,0,11,20,4,0,,,,,,,,,no
26,1992,12/6/92,Bakary Sako,0,1,0,171,71,62,65,0.21,25,1,43.42,12996,114,24,7,67,199,23,41,39,133,8,0,204,606,719,24,0.8,109,252,558,0.23,124,0,1,13,373,0.3,,,,,,,,,,,,,,no
32,1986,7/4/86,Ben Chilwell,1,0,0,186,86,23,38,0,4,0,37.87,1521,39,5,5,111,113,0,141,9,8,63,0,113,203,161,68,0.81,41,10,258,0.27,4,,,,,,0,18,31,0,1,,,,,,,,,no
33,1985,9/7/85,Ben Foster,0,0,0,180,65,131,308,0.15,73,1,26.72,81796,286,62,48,296,395,95,201,40,141,45,0,425,1289,1431,89,0.75,119,254,1039,0.22,102,5,5,22,499,0.33,,,,,,,,,,,,,,no
22,1996,3/5/96,Ben Hamer,0,0,0,180,75,10,4,0.11,3,0,30.5,324,18,5,1,4,13,2,1,4,7,1,0,11,45,54,3,0.77,8,20,63,0.11,5,0,0,0,23,0.35,,,,,,,,,,,,,,no
31,1987,2/4/87,Ben Mee,1,0,0,180,72,9,10,0.12,14,0,19.27,676,26,2,1,16,32,1,13,1,5,6,0,18,106,129,14,0.75,31,32,69,0.16,1,0,0,2,22,0.5,,,,,,,,,,,,,,no
20,1998,35886,Benik Afobe,0,0,1,188,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,no
33,1985,11/22/85,Boaz Myhill,0,0,0,185,80,8,18,0.23,20,0,16.35,961,31,1,0,3,11,30,25,1,5,13,,,,,,,,,,,,0,0,6,37,0.54,,,,,,,,,,,,,,no
35,1983,3/4/83,Bojan,0,0,1,193,79,63,9,0,90,0,23.05,48400,220,0,7,,,,,,,,13,1504,,,,,,,,,,,,,,,0,58,299,,,738,77,2060,6,907,354,113,193,no
36,1982,8/17/82,Brad Smith,0,0,0,183,83,123,137,14,93,0,41.13,94864,308,7,17,538,627,3,2621,7,35,888,6,1595,1570,773,624,0.76,394,33,1399,0.3,11,,,,,,6,95,331,22,6,,,,,,,,,no
31,1987,5/10/87,Brahim Diaz,0,1,0,179,68,46,96,0.22,33,2,19.32,13924,118,15,12,45,95,57,23,19,88,8,0,104,346,537,17,0.76,73,132,299,0.27,10,0,3,15,257,0.36,,,,,,,,,,,,,,no
33,1985,10/12/85,Branislav Ivanovic,1,0,0,185,83,56,287,0.18,70,3,35.89,30276,174,22,41,180,285,2,197,36,106,76,2,689,865,910,183,0.79,132,144,890,0.22,54,10,2,5,364,0.28,,,,,,,,,,,,,,yes
35,1983,2/14/83,Bruno Martins Indi,1,0,0,176,72,142,158,4,47,1,51.56,64516,254,19,28,423,502,1,1186,19,23,457,3,401,1444,886,594,0.73,338,89,1133,0.19,17,,,,,,0,90,247,6,1,,,,,,,,,no
36,1982,1/14/82,Cédric Soares,1,0,0,183,78,0,0,0,3,0,30.43,49,7,0,0,,,,,,,,0,67,,,,,,,,,,,,,,,0,1,10,,,16,3,66,0,18,4,5,2,no
34,1984,12/13/84,Calum Chambers,1,0,0,168,66,77,67,0.2,24,1,66.46,16384,128,35,12,172,212,8,68,43,111,26,2,433,652,640,19,0.76,60,265,859,0.24,128,8,0,8,313,0.36,,,,,,,,,,,,,,no
37,1981,3/10/81,Cameron Carter-Vickers,1,0,0,195,95,3,12,0.57,2,0,32.86,49,7,0,2,3,8,8,4,3,10,3,,,,,,,,,,,,1,0,5,36,0.33,,,,,,,,,,,,,,no
28,1990,1/2/90,Carl Jenkinson,1,0,0,178,71,36,55,0.09,34,1,21.41,7396,86,1,10,89,126,3,46,2,19,15,1,62,294,325,53,0.7,63,50,249,0.3,13,0,0,7,78,0.31,,,,,,,,,,,,,,no
35,1983,1/17/83,Charlie Adam,0,1,0,184,79,38,87,2,8,0,38.43,4624,68,3,15,130,213,4,298,0,3,79,1,96,379,264,57,0.78,39,26,317,0.23,4,,,,,,0,30,52,1,1,,,,,,,,,no
29,1989,4/14/89,Charlie Daniels,1,0,0,182,74,0,1,0,2,0,31.5,4,2,0,0,4,2,0,4,0,0,3,0,1,6,7,3,1,4,0,11,0.67,0,,,,,,0,0,4,0,0,,,,,,,,,no
33,1985,10/11/85,Cheikhou Kouyaté,1,0,0,187,83,90,111,10,30,1,36.99,20449,143,19,21,186,227,16,337,24,68,172,1,250,639,492,178,0.75,123,84,634,0.26,8,,,,,,1,39,112,2,0,,,,,,,,,no
28,1990,3/12/90,Chris Brunt,1,0,0,190,83,40,198,0.44,56,2,29.52,15129,123,11,15,13,46,142,87,20,79,50,,,,,,,,,,,,7,1,41,327,0.38,,,,,,,,,,,,,,no
30,1988,7/8/88,Chris Smalling,1,0,0,184,84,36,167,1,41,0,37.23,11664,108,5,24,219,322,2,375,8,6,190,2,179,676,509,194,0.76,133,36,481,0.15,1,,,,,,0,24,133,2,1,,,,,,,,,no
30,1988,10/29/88,Christian Benteke,0,0,1,183,75,24,16,0.08,16,0,21.96,2809,53,1,3,63,74,2,52,3,11,33,0,56,172,121,56,0.81,46,18,180,0.17,1,0,0,4,35,0.26,,,,,,,,,,,,,,yes
31,1987,5/31/87,Christian Eriksen,0,1,0,196,85,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
32,1986,3/10/86,Christian Fuchs,1,0,0,180,78,20,62,2,47,0,24.53,7569,87,1,16,152,177,5,470,1,4,173,0,127,437,304,184,0.73,129,24,225,0.23,2,,,,,,0,17,138,3,6,,,,,,,,,no
27,1991,7/1/91,Christian Kabasele,1,0,0,182,77,2,4,0.2,2,0,32.6,25,5,2,2,3,2,1,1,3,0,0,0,5,9,21,0,1,3,3,29,0.44,0,0,0,1,2,1,,,,,,,,,,,,,,no
27,1991,7/16/91,Claudio Bravo,0,0,0,181,77,36,32,0.12,29,0,21.28,6724,82,5,8,57,137,2,21,10,57,3,1,27,412,417,2,0.82,24,186,292,0.2,5,1,1,3,162,0.35,,,,,,,,,,,,,,yes
24,1994,3/13/94,Claudio Yacob,1,0,0,171,68,22,11,0.09,16,0,15.68,3136,56,11,3,24,27,9,5,11,8,0,,,,,,,,,,,,0,0,4,45,0.64,,,,,,,,,,,,,,no
28,1990,12/12/90,Connor Randall,1,0,0,177,75,62,118,0.09,56,0,17.59,26244,162,13,10,97,135,42,33,19,65,16,0,88,669,780,60,0.74,113,274,499,0.22,15,1,0,19,246,0.27,,,,,,,,,,,,,,no
26,1992,1/31/92,Connor Wickham,0,0,1,185,79,1,1,0.25,2,0,23,16,4,0,0,5,4,1,4,0,1,2,0,9,17,20,4,0.25,7,2,18,0.01,0,0,0,0,4,0.25,,,,,,,,,,,,,,no
22,1996,7/1/96,Costel Pantilimon,0,0,0,186,86,2,2,0.2,2,0,6.2,25,5,0,1,1,3,0,1,0,1,1,,,,,,,,,,,,0,0,1,7,0.57,,,,,,,,,,,,,,no
23,1995,9/20/95,Craig Cathcart,1,0,0,185,90,1,2,0,1,0,51.67,9,3,0,1,4,4,0,17,0,0,9,0,9,22,13,15,1,8,2,16,0,0,,,,,,0,1,5,0,0,,,,,,,,,no
26,1992,2/21/92,Daley Blind,1,0,0,185,72,72,125,2,33,0,36.76,19321,139,5,22,312,314,3,735,9,17,360,0,346,755,480,245,0.73,169,59,536,0.21,13,,,,,,1,37,125,9,1,,,,,,,,,no
29,1989,9/8/89,Damien Delaney,1,0,0,186,82,5,23,0.17,5,0,9.5,144,12,0,2,2,9,5,2,1,3,1,,,,,,,,,,,,0,0,0,16,0.38,,,,,,,,,,,,,,no
28,1990,12/26/90,Dan Gosling,0,1,0,178,76,106,200,0.15,38,0,54.8,35344,188,28,23,219,384,13,104,31,94,41,1,480,836,1016,95,0.76,124,177,979,0.17,149,0,0,26,330,0.32,,,,,,,,,,,,,,no
31,1987,3/29/87,Daniel Amartey,1,0,0,175,77,15,13,0.29,10,0,42.54,1225,35,15,4,24,27,3,4,18,28,2,1,85,164,172,2,0.67,12,84,176,0.33,23,0,2,1,88,0.35,,,,,,,,,,,,,,no
37,1981,7/20/81,Daniel Drinkwater,0,1,0,191,89,37,71,3,53,1,25.42,12769,113,4,20,207,153,2,826,7,5,474,3,342,497,316,298,0.74,173,8,377,0.4,0,,,,,,3,22,135,6,0,,,,,,,,,no
27,1991,8/31/91,Daniel Sturridge,0,0,1,172,67,12,20,0,9,0,34.77,961,31,2,3,63,87,3,85,5,2,29,0,79,147,115,25,0.79,43,20,170,0.27,0,,,,,,0,6,25,0,2,,,,,,,,,yes
34,1984,8/23/84,Danny Ings,0,0,1,183,77,62,173,4,73,0,55.61,34969,187,3,32,479,274,13,1713,4,20,744,6,1108,772,571,419,0.74,324,22,847,0.4,9,,,,,,0,54,246,6,7,,,,,,,,,no
24,1994,1/4/94,Danny Rose,1,0,0,178,68,5,3,7,2,0,16.14,49,7,0,1,11,10,0,7,0,1,6,0,2,17,12,6,0.6,5,1,12,0.01,0,0,0,0,1,0.01,,,,,,,,,,,,,,no
42,1976,4/20/76,Danny Simpson,1,0,0,183,84,168,0,0,156,0,7.83,203401,451,0,19,,,,,,,,6,1062,,,,,,,,,,,,,,,2,32,239,,,475,79,1516,5,502,165,42,144,no
33,1985,2/26/85,Danny Welbeck,0,0,1,195,90,1,16,0.17,4,0,28.17,36,6,0,0,0,3,2,11,0,3,8,,,,,,,,,,,,0,0,1,14,0.43,,,,,,,,,,,,,,yes
27,1991,8/7/91,Darren Randolph,0,0,0,193,92,19,35,3,12,0,42.71,1681,41,0,5,116,65,2,319,4,6,183,0,160,289,123,190,0.75,70,18,192,0.5,1,,,,,,0,13,42,1,1,,,,,,,,,no
30,1988,2/7/88,Daryl Janmaat,1,0,0,180,75,28,44,0.09,41,0,18.16,8100,90,10,5,122,134,9,45,12,10,12,1,42,370,377,65,0.78,84,69,334,0.33,28,0,0,2,56,0.38,,,,,,,,,,,,,,no
23,1995,1/20/95,David de Gea,0,0,0,183,66,26,53,2,18,1,35.45,3600,60,1,9,99,112,1,187,3,3,114,0,73,300,245,113,0.83,78,43,252,0.21,2,,,,,,1,12,59,1,1,,,,,,,,,yes
23,1995,2/10/95,David Luiz,1,0,0,185,78,1,2,5,4,0,5,25,5,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,4,0.25,,,,,,,,,,,,,,yes
29,1989,10/30/89,David Silva,0,1,0,186,77,7,74,0.14,17,1,21.37,1225,35,2,4,19,23,10,36,0,14,25,,,,,,,,,,,,0,0,3,66,0.32,,,,,,,,,,,,,,yes
33,1985,4/18/85,Dean Marney,0,1,0,190,83,50,3,0,39,1,24.42,12769,113,2,2,,,,,,,,10,749,,,,,,,,,,,,,,,0,35,143,,,357,100,904,1,711,224,87,52,no
37,1981,9/28/81,Dejan Lovren,1,0,0,186,80,7,0,0,2,0,23.33,81,9,0,0,,,,,,,,1,52,,,,,,,,,,,,,,,0,1,12,,,26,4,44,0,27,7,5,1,no
